name,terminology,code,term,code_type
stroke,SNOMED,56267009,Multi-infarct dementia,1
stroke,SNOMED,563789641000119101,Cerebrovascular accident due to thrombosis of bilateral carotid arteries (disorder),1
stroke,SNOMED,578968971000119100,Cerebrovascular accident due to thrombosis of bilateral vertebral arteries (disorder),1
stroke,SNOMED,57981008,Progressing stroke (disorder),2
stroke,SNOMED,58173271000119101,Cerebrovascular accident due to embolism of bilateral cerebellar arteries (disorder),1
stroke,SNOMED,595899961000119100,Cerebrovascular accident of basal ganglia (disorder),1
stroke,SNOMED,609382000,Chronic non-traumatic intracranial subdural hemorrhage (disorder),2
stroke,SNOMED,64009001,Basilar artery syndrome (disorder),1
stroke,SNOMED,652287331000119104,Cerebrovascular accident of brainstem (disorder),1
stroke,SNOMED,655081461000119101,Cerebrovascular accident due to occlusion of right anterior cerebral artery (disorder),1
stroke,SNOMED,672441000119103,Hemiplegia of nondominant side due to and following ischemic cerebrovascular accident (disorder),1
stroke,SNOMED,672461000119104,Hemiplegia of dominant side due to and following ischemic cerebrovascular accident (disorder),1
stroke,SNOMED,672501000119104,Dysarthria due to and following ischemic cerebrovascular accident (disorder),1
stroke,SNOMED,672511000119101,Dysarthria due to and following hemorrhagic cerebrovascular accident (disorder),1
stroke,SNOMED,672521000119108,Dysphasia due to and following ischemic cerebrovascular accident (disorder),1
stroke,SNOMED,672531000119106,Dysphasia due to and following hemorrhagic cerebrovascular accident (disorder),1
stroke,SNOMED,672541000119102,Aphasia due to and following ischemic cerebrovascular accident (disorder),1
stroke,SNOMED,672561000119103,Cognitive deficit due to and following ischemic cerebrovascular accident (disorder),1
stroke,SNOMED,672571000119109,Cognitive deficit due to and following hemorrhagic cerebrovascular accident (disorder),1
stroke,SNOMED,674091000119108,Vertigo due to and following ischemic cerebrovascular accident (disorder),1
stroke,ICD10,I675,Moyamoya disease,2
stroke,ICD10,I676,Nonpyogenic thrombosis of intracranial venous system,1
stroke,ICD10,I677,"Cerebral arteritis, not elsewhere classified",1
stroke,ICD10,I678,Other specified cerebrovascular diseases,2
stroke,ICD10,I679,"Cerebrovascular disease, unspecified",2
stroke,ICD10,I68,"Cerebrovascular disorders in diseases classified elsewhere (e.g Cerebral amyloid angiopathy, vasuclitits, etc)",1
stroke,ICD10,I69,Sequelae of cerebrovascular disease,1
stroke,SNOMED,102831000119104,Paralytic syndrome of both lower limbs as sequela of stroke (disorder),1
stroke,SNOMED,10349009,Multi-infarct dementia with delirium (disorder),1
stroke,SNOMED,103761000119107,Paralytic syndrome of all four limbs as sequela of stroke (disorder),1
stroke,SNOMED,106021000119105,Multi-infarct dementia due to atherosclerosis (disorder),1
stroke,SNOMED,107557061000119108,Cerebrovascular accident due to embolism of bilateral anterior cerebral arteries (disorder),1
stroke,SNOMED,1078001000000105,Haemorrhagic stroke,1
stroke,SNOMED,108691000119102,Spasticity as sequela of stroke (disorder),1
