code,code_description,terminology,active_in_algorithm,diabetes_type,diabetes_type_level2,diabetes_type_level3
E10,Type 1 diabetes mellitus,ICD10,1,Type 1,,
E100,Type 1 diabetes mellitus With coma,ICD10,1,Type 1,,
E101,Type 1 diabetes mellitus With ketoacidosis,ICD10,1,Type 1,,
E102,Type 1 diabetes mellitus With renal complications,ICD10,1,Type 1,,
E103,Type 1 diabetes mellitus With ophthalmic complications,ICD10,1,Type 1,,
E104,Type 1 diabetes mellitus With neurological complications,ICD10,1,Type 1,,
E105,Type 1 diabetes mellitus With peripheral circulatory complications,ICD10,1,Type 1,,
E106,Type 1 diabetes mellitus With other specified complications,ICD10,1,Type 1,,
E107,Type 1 diabetes mellitus With multiple complications,ICD10,1,Type 1,,
E108,Type 1 diabetes mellitus With unspecified complications,ICD10,1,Type 1,,
E109,Type 1 diabetes mellitus Without complications,ICD10,1,Type 1,,
O240,Diabetes mellitus in pregnancy: Pre-existing type 1 diabetes mellitus,ICD10,1,Type 1,,
104941000119109,Ischemia of retina due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
1067201000000106,Eating disorder co-occurrent with diabetes mellitus type 1 (disorder),SNOMED,1,Type 1,,
190330002,Hyperosmolar coma due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
190368000,Type I diabetes mellitus with ulcer (disorder),SNOMED,1,Type 1,,
190369008,Type I diabetes mellitus with gangrene (disorder),SNOMED,1,Type 1,,
190372001,Type I diabetes mellitus maturity onset (disorder),SNOMED,1,Type 1,,
23045005,Insulin dependent diabetes mellitus type IA (disorder),SNOMED,1,Type 1,,
237618001,Insulin-dependent diabetes mellitus secretory diarrhea syndrome (disorder),SNOMED,1,Type 1,,
279291000000109,Diabetes type 1 review (regime/therapy),SNOMED,1,Type 1,,
290002008,Brittle type I diabetes mellitus (finding),SNOMED,1,Type 1,,
31211000119101,Peripheral angiopathy due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
313435000,Type I diabetes mellitus without complication (disorder),SNOMED,1,Type 1,,
314771006,Type I diabetes mellitus with hypoglycemic coma (disorder),SNOMED,1,Type 1,,
314893005,Arthropathy due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
367991000119101,Hyperglycemia due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
401110002,Type 1 diabetes mellitus with persistent microalbuminuria (disorder),SNOMED,1,Type 1,,
420270002,Ketoacidosis due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
420486006,Exudative maculopathy due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
420514000,Persistent proteinuria due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
420789003,Retinopathy due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
420825003,Gangrene due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
420868002,Disorder due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
420918009,Mononeuropathy due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
421075007,Ketoacidotic coma due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
421365002,Peripheral circulatory disorder due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
421468001,Disorder of nervous system due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
421893009,Renal disorder due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
421920002,Cataract of eye due to diabetes mellitus type 1 (disorder),SNOMED,1,Type 1,,
422228004,Multiple complications due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
444073006,Type I diabetes mellitus uncontrolled (finding),SNOMED,1,Type 1,,
46635009,Diabetes mellitus type 1 (disorder),SNOMED,1,Type 1,,
472970003,History of diabetes mellitus type 1 (situation),SNOMED,1,Type 1,,
703137001,Type I diabetes mellitus in remission (disorder),SNOMED,1,Type 1,,
713702000,Gastroparesis due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
713705003,Polyneuropathy due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
71771000119100,Neuropathic arthropathy due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
739681000,Disorder of eye due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
754101000000103,Type I diabetic dietary review (regime/therapy),SNOMED,1,Type 1,,
754461000000105,Referral to type I diabetes structured education programme (procedure),SNOMED,1,Type 1,,
769219006,Macular edema due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
199229001,Pre-existing type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
28032008,Insulin dependent diabetes mellitus type IB (disorder),SNOMED,1,Type 1,,
31321000119102,Diabetes mellitus type 1 without retinopathy (disorder),SNOMED,1,Type 1,,
444074000,Type I diabetes mellitus well controlled (finding),SNOMED,1,Type 1,,
609564002,Pre-existing type 1 diabetes mellitus in pregnancy (disorder),SNOMED,1,Type 1,,
770098001,Cranial nerve palsy due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
870528001,Newly diagnosed type 1 diabetes mellitus (finding),SNOMED,1,Type 1,,
102781000119107,Sensory neuropathy due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
104951000119106,Vitreous hemorrhage due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
1.06562310001191E+016,Ulcer of skin of toe due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
109171000119104,Retinal edema due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
110141000119100,Ulcer of lower limb due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
120711000119108,Hypoglycemic unawareness due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
128001000119105,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
137941000119106,Hyperlipidemia due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
138881000119106,Mild nonproliferative retinopathy due to type 1 diabetes mellitus (disorder),SNOMED,1,Type 1,,
